West US 2 A DC1 -> [([[West US 2 A_gateway1, GigabitEthernet0/0/1], [West US 2 A_gateway2, GigabitEthernet0/0/1]], [10.0.0.0/16])]
        ([[Belgium Central F_gateway1, GigabitEthernet0/0/5], [Belgium Central F_gateway2, GigabitEthernet0/0/5]], [13.71.0.0/16])
    ]

Denmark East A -> [
        ([[Denmark East A_gateway1, GigabitEthernet0/0/1], [Denmark East A_gateway2, GigabitEthernet0/0/1]], [13.72.0.0/16]),
        ([[Denmark East A_gateway1, GigabitEthernet0/0/2], [Denmark East A_gateway2, GigabitEthernet0/0/2]], [13.73.0.0/16]),
        ([[Denmark East A_gateway1, GigabitEthernet0/0/3], [Denmark East A_gateway2, GigabitEthernet0/0/3]], [13.74.0.0/16]),
        ([[Denmark East A_gateway1, GigabitEthernet0/0/4], [Denmark East A_gateway2, GigabitEthernet0/0/4]], [13.75.0.0/16]),
        ([[Denmark East A_gateway1, GigabitEthernet0/0/5], [Denmark East A_gateway2, GigabitEthernet0/0/5]], [13.76.0.0/16])
    ]

Denmark East B -> [
        ([[Denmark East B_gateway1, GigabitEthernet0/0/1], [Denmark East B_gateway2, GigabitEthernet0/0/1]], [13.77.0.0/16]),
        ([[Denmark East B_gateway1, GigabitEthernet0/0/2], [Denmark East B_gateway2, GigabitEthernet0/0/2]], [13.78.0.0/16]),
        ([[Denmark East B_gateway1, GigabitEthernet0/0/3], [Denmark East B_gateway2, GigabitEthernet0/0/3]], [13.79.0.0/16]),
        ([[Denmark East B_gateway1, GigabitEthernet0/0/4], [Denmark East B_gateway2, GigabitEthernet0/0/4]], [13.80.0.0/16]),
        ([[Denmark East B_gateway1, GigabitEthernet0/0/5], [Denmark East B_gateway2, GigabitEthernet0/0/5]], [13.81.0.0/16])
    ]

Denmark East C -> [
        ([[Denmark East C_gateway1, GigabitEthernet0/0/1], [Denmark East C_gateway2, GigabitEthernet0/0/1]], [13.82.0.0/16]),
        ([[Denmark East C_gateway1, GigabitEthernet0/0/2], [Denmark East C_gateway2, GigabitEthernet0/0/2]], [13.83.0.0/16]),
        ([[Denmark East C_gateway1, GigabitEthernet0/0/3], [Denmark East C_gateway2, GigabitEthernet0/0/3]], [13.84.0.0/16]),
        ([[Denmark East C_gateway1, GigabitEthernet0/0/4], [Denmark East C_gateway2, GigabitEthernet0/0/4]], [13.85.0.0/16]),
        ([[Denmark East C_gateway1, GigabitEthernet0/0/5], [Denmark East C_gateway2, GigabitEthernet0/0/5]], [13.86.0.0/16])
    ]

Denmark East D -> [
        ([[Denmark East D_gateway1, GigabitEthernet0/0/1], [Denmark East D_gateway2, GigabitEthernet0/0/1]], [13.87.0.0/16]),
        ([[Denmark East D_gateway1, GigabitEthernet0/0/2], [Denmark East D_gateway2, GigabitEthernet0/0/2]], [13.88.0.0/16]),
        ([[Denmark East D_gateway1, GigabitEthernet0/0/3], [Denmark East D_gateway2, GigabitEthernet0/0/3]], [13.89.0.0/16]),
        ([[Denmark East D_gateway1, GigabitEthernet0/0/4], [Denmark East D_gateway2, GigabitEthernet0/0/4]], [13.90.0.0/16]),
        ([[Denmark East D_gateway1, GigabitEthernet0/0/5], [Denmark East D_gateway2, GigabitEthernet0/0/5]], [13.91.0.0/16])
    ]

Denmark East E -> [
        ([[Denmark East E_gateway1, GigabitEthernet0/0/1], [Denmark East E_gateway2, GigabitEthernet0/0/1]], [13.92.0.0/16]),
        ([[Denmark East E_gateway1, GigabitEthernet0/0/2], [Denmark East E_gateway2, GigabitEthernet0/0/2]], [13.93.0.0/16]),
        ([[Denmark East E_gateway1, GigabitEthernet0/0/3], [Denmark East E_gateway2, GigabitEthernet0/0/3]], [13.94.0.0/16]),
        ([[Denmark East E_gateway1, GigabitEthernet0/0/4], [Denmark East E_gateway2, GigabitEthernet0/0/4]], [13.95.0.0/16]),
        ([[Denmark East E_gateway1, GigabitEthernet0/0/5], [Denmark East E_gateway2, GigabitEthernet0/0/5]], [13.96.0.0/16])
    ]

Denmark East F -> [
        ([[Denmark East F_gateway1, GigabitEthernet0/0/1], [Denmark East F_gateway2, GigabitEthernet0/0/1]], [13.97.0.0/16]),
        ([[Denmark East F_gateway1, GigabitEthernet0/0/2], [Denmark East F_gateway2, GigabitEthernet0/0/2]], [13.98.0.0/16]),
        ([[Denmark East F_gateway1, GigabitEthernet0/0/3], [Denmark East F_gateway2, GigabitEthernet0/0/3]], [13.99.0.0/16]),
        ([[Denmark East F_gateway1, GigabitEthernet0/0/4], [Denmark East F_gateway2, GigabitEthernet0/0/4]], [13.100.0.0/16]),
        ([[Denmark East F_gateway1, GigabitEthernet0/0/5], [Denmark East F_gateway2, GigabitEthernet0/0/5]], [13.101.0.0/16])
    ]

Finland Central A -> [
        ([[Finland Central A_gateway1, GigabitEthernet0/0/1], [Finland Central A_gateway2, GigabitEthernet0/0/1]], [13.102.0.0/16]),
        ([[Finland Central A_gateway1, GigabitEthernet0/0/2], [Finland Central A_gateway2, GigabitEthernet0/0/2]], [13.103.0.0/16]),
        ([[Finland Central A_gateway1, GigabitEthernet0/0/3], [Finland Central A_gateway2, GigabitEthernet0/0/3]], [13.104.0.0/16]),
        ([[Finland Central A_gateway1, GigabitEthernet0/0/4], [Finland Central A_gateway2, GigabitEthernet0/0/4]], [13.105.0.0/16]),
        ([[Finland Central A_gateway1, GigabitEthernet0/0/5], [Finland Central A_gateway2, GigabitEthernet0/0/5]], [13.106.0.0/16])
    ]

Finland Central B -> [
        ([[Finland Central B_gateway1, GigabitEthernet0/0/1], [Finland Central B_gateway2, GigabitEthernet0/0/1]], [13.107.0.0/16]),
        ([[Finland Central B_gateway1, GigabitEthernet0/0/2], [Finland Central B_gateway2, GigabitEthernet0/0/2]], [13.108.0.0/16]),
        ([[Finland Central B_gateway1, GigabitEthernet0/0/3], [Finland Central B_gateway2, GigabitEthernet0/0/3]], [13.109.0.0/16]),
        ([[Finland Central B_gateway1, GigabitEthernet0/0/4], [Finland Central B_gateway2, GigabitEthernet0/0/4]], [13.110.0.0/16]),
        ([[Finland Central B_gateway1, GigabitEthernet0/0/5], [Finland Central B_gateway2, GigabitEthernet0/0/5]], [13.111.0.0/16])
    ]

Finland Central C -> [
        ([[Finland Central C_gateway1, GigabitEthernet0/0/1], [Finland Central C_gateway2, GigabitEthernet0/0/1]], [13.112.0.0/16]),
        ([[Finland Central C_gateway1, GigabitEthernet0/0/2], [Finland Central C_gateway2, GigabitEthernet0/0/2]], [13.113.0.0/16]),
        ([[Finland Central C_gateway1, GigabitEthernet0/0/3], [Finland Central C_gateway2, GigabitEthernet0/0/3]], [13.114.0.0/16]),
        ([[Finland Central C_gateway1, GigabitEthernet0/0/4], [Finland Central C_gateway2, GigabitEthernet0/0/4]], [13.115.0.0/16]),
        ([[Finland Central C_gateway1, GigabitEthernet0/0/5], [Finland Central C_gateway2, GigabitEthernet0/0/5]], [13.116.0.0/16])
    ]

Finland Central D -> [
        ([[Finland Central D_gateway1, GigabitEthernet0/0/1], [Finland Central D_gateway2, GigabitEthernet0/0/1]], [13.117.0.0/16]),
        ([[Finland Central D_gateway1, GigabitEthernet0/0/2], [Finland Central D_gateway2, GigabitEthernet0/0/2]], [13.118.0.0/16]),
        ([[Finland Central D_gateway1, GigabitEthernet0/0/3], [Finland Central D_gateway2, GigabitEthernet0/0/3]], [13.119.0.0/16]),
        ([[Finland Central D_gateway1, GigabitEthernet0/0/4], [Finland Central D_gateway2, GigabitEthernet0/0/4]], [13.120.0.0/16]),
        ([[Finland Central D_gateway1, GigabitEthernet0/0/5], [Finland Central D_gateway2, GigabitEthernet0/0/5]], [13.121.0.0/16])
    ]

Finland Central E -> [
        ([[Finland Central E_gateway1, GigabitEthernet0/0/1], [Finland Central E_gateway2, GigabitEthernet0/0/1]], [13.122.0.0/16]),
        ([[Finland Central E_gateway1, GigabitEthernet0/0/2], [Finland Central E_gateway2, GigabitEthernet0/0/2]], [13.123.0.0/16]),
        ([[Finland Central E_gateway1, GigabitEthernet0/0/3], [Finland Central E_gateway2, GigabitEthernet0/0/3]], [13.124.0.0/16]),
        ([[Finland Central E_gateway1, GigabitEthernet0/0/4], [Finland Central E_gateway2, GigabitEthernet0/0/4]], [13.125.0.0/16]),
        ([[Finland Central E_gateway1, GigabitEthernet0/0/5], [Finland Central E_gateway2, GigabitEthernet0/0/5]], [13.126.0.0/16])
    ]

Finland Central F -> [
        ([[Finland Central F_gateway1, GigabitEthernet0/0/1], [Finland Central F_gateway2, GigabitEthernet0/0/1]], [13.127.0.0/16]),
        ([[Finland Central F_gateway1, GigabitEthernet0/0/2], [Finland Central F_gateway2, GigabitEthernet0/0/2]], [13.128.0.0/16]),
        ([[Finland Central F_gateway1, GigabitEthernet0/0/3], [Finland Central F_gateway2, GigabitEthernet0/0/3]], [13.129.0.0/16]),
        ([[Finland Central F_gateway1, GigabitEthernet0/0/4], [Finland Central F_gateway2, GigabitEthernet0/0/4]], [13.130.0.0/16]),
        ([[Finland Central F_gateway1, GigabitEthernet0/0/5], [Finland Central F_gateway2, GigabitEthernet0/0/5]], [13.131.0.0/16])
    ]

Austria East A -> [
        ([[Austria East A_gateway1, GigabitEthernet0/0/1], [Austria East A_gateway2, GigabitEthernet0/0/1]], [13.132.0.0/16]),
        ([[Austria East A_gateway1, GigabitEthernet0/0/2], [Austria East A_gateway2, GigabitEthernet0/0/2]], [13.133.0.0/16]),
        ([[Austria East A_gateway1, GigabitEthernet0/0/3], [Austria East A_gateway2, GigabitEthernet0/0/3]], [13.134.0.0/16]),
        ([[Austria East A_gateway1, GigabitEthernet0/0/4], [Austria East A_gateway2, GigabitEthernet0/0/4]], [13.135.0.0/16]),
        ([[Austria East A_gateway1, GigabitEthernet0/0/5], [Austria East A_gateway2, GigabitEthernet0/0/5]], [13.136.0.0/16])
    ]

Austria East B -> [
        ([[Austria East B_gateway1, GigabitEthernet0/0/1], [Austria East B_gateway2, GigabitEthernet0/0/1]], [13.137.0.0/16]),
        ([[Austria East B_gateway1, GigabitEthernet0/0/2], [Austria East B_gateway2, GigabitEthernet0/0/2]], [13.138.0.0/16]),
        ([[Austria East B_gateway1, GigabitEthernet0/0/3], [Austria East B_gateway2, GigabitEthernet0/0/3]], [13.139.0.0/16]),
        ([[Austria East B_gateway1, GigabitEthernet0/0/4], [Austria East B_gateway2, GigabitEthernet0/0/4]], [13.140.0.0/16]),
        ([[Austria East B_gateway1, GigabitEthernet0/0/5], [Austria East B_gateway2, GigabitEthernet0/0/5]], [13.141.0.0/16])
    ]

Austria East C -> [
        ([[Austria East C_gateway1, GigabitEthernet0/0/1], [Austria East C_gateway2, GigabitEthernet0/0/1]], [13.142.0.0/16]),
        ([[Austria East C_gateway1, GigabitEthernet0/0/2], [Austria East C_gateway2, GigabitEthernet0/0/2]], [13.143.0.0/16]),
        ([[Austria East C_gateway1, GigabitEthernet0/0/3], [Austria East C_gateway2, GigabitEthernet0/0/3]], [13.144.0.0/16]),
        ([[Austria East C_gateway1, GigabitEthernet0/0/4], [Austria East C_gateway2, GigabitEthernet0/0/4]], [13.145.0.0/16]),
        ([[Austria East C_gateway1, GigabitEthernet0/0/5], [Austria East C_gateway2, GigabitEthernet0/0/5]], [13.146.0.0/16])
    ]

Austria East D -> [
        ([[Austria East D_gateway1, GigabitEthernet0/0/1], [Austria East D_gateway2, GigabitEthernet0/0/1]], [13.147.0.0/16]),
        ([[Austria East D_gateway1, GigabitEthernet0/0/2], [Austria East D_gateway2, GigabitEthernet0/0/2]], [13.148.0.0/16]),
        ([[Austria East D_gateway1, GigabitEthernet0/0/3], [Austria East D_gateway2, GigabitEthernet0/0/3]], [13.149.0.0/16]),
        ([[Austria East D_gateway1, GigabitEthernet0/0/4], [Austria East D_gateway2, GigabitEthernet0/0/4]], [13.150.0.0/16]),
        ([[Austria East D_gateway1, GigabitEthernet0/0/5], [Austria East D_gateway2, GigabitEthernet0/0/5]], [13.151.0.0/16])
    ]

Austria East E -> [
        ([[Austria East E_gateway1, GigabitEthernet0/0/1], [Austria East E_gateway2, GigabitEthernet0/0/1]], [13.152.0.0/16]),
        ([[Austria East E_gateway1, GigabitEthernet0/0/2], [Austria East E_gateway2, GigabitEthernet0/0/2]], [13.153.0.0/16]),
        ([[Austria East E_gateway1, GigabitEthernet0/0/3], [Austria East E_gateway2, GigabitEthernet0/0/3]], [13.154.0.0/16]),
        ([[Austria East E_gateway1, GigabitEthernet0/0/4], [Austria East E_gateway2, GigabitEthernet0/0/4]], [13.155.0.0/16]),
        ([[Austria East E_gateway1, GigabitEthernet0/0/5], [Austria East E_gateway2, GigabitEthernet0/0/5]], [13.156.0.0/16])
    ]

Austria East F -> [
        ([[Austria East F_gateway1, GigabitEthernet0/0/1], [Austria East F_gateway2, GigabitEthernet0/0/1]], [13.157.0.0/16]),
        ([[Austria East F_gateway1, GigabitEthernet0/0/2], [Austria East F_gateway2, GigabitEthernet0/0/2]], [13.158.0.0/16]),
        ([[Austria East F_gateway1, GigabitEthernet0/0/3], [Austria East F_gateway2, GigabitEthernet0/0/3]], [13.159.0.0/16]),
        ([[Austria East F_gateway1, GigabitEthernet0/0/4], [Austria East F_gateway2, GigabitEthernet0/0/4]], [13.160.0.0/16]),
        ([[Austria East F_gateway1, GigabitEthernet0/0/5], [Austria East F_gateway2, GigabitEthernet0/0/5]], [13.161.0.0/16])
    ]

Greece Central A -> [
        ([[Greece Central A_gateway1, GigabitEthernet0/0/1], [Greece Central A_gateway2, GigabitEthernet0/0/1]], [13.162.0.0/16]),
        ([[Greece Central A_gateway1, GigabitEthernet0/0/2], [Greece Central A_gateway2, GigabitEthernet0/0/2]], [13.163.0.0/16]),
        ([[Greece Central A_gateway1, GigabitEthernet0/0/3], [Greece Central A_gateway2, GigabitEthernet0/0/3]], [13.164.0.0/16]),
        ([[Greece Central A_gateway1, GigabitEthernet0/0/4], [Greece Central A_gateway2, GigabitEthernet0/0/4]], [13.165.0.0/16]),
        ([[Greece Central A_gateway1, GigabitEthernet0/0/5], [Greece Central A_gateway2, GigabitEthernet0/0/5]], [13.166.0.0/16])
    ]

Greece Central B -> [
        ([[Greece Central B_gateway1, GigabitEthernet0/0/1], [Greece Central B_gateway2, GigabitEthernet0/0/1]], [13.167.0.0/16]),
        ([[Greece Central B_gateway1, GigabitEthernet0/0/2], [Greece Central B_gateway2, GigabitEthernet0/0/2]], [13.168.0.0/16]),
        ([[Greece Central B_gateway1, GigabitEthernet0/0/3], [Greece Central B_gateway2, GigabitEthernet0/0/3]], [13.169.0.0/16]),
        ([[Greece Central B_gateway1, GigabitEthernet0/0/4], [Greece Central B_gateway2, GigabitEthernet0/0/4]], [13.170.0.0/16]),
        ([[Greece Central B_gateway1, GigabitEthernet0/0/5], [Greece Central B_gateway2, GigabitEthernet0/0/5]], [13.171.0.0/16])
    ]

Greece Central C -> [
        ([[Greece Central C_gateway1, GigabitEthernet0/0/1], [Greece Central C_gateway2, GigabitEthernet0/0/1]], [13.172.0.0/16]),
        ([[Greece Central C_gateway1, GigabitEthernet0/0/2], [Greece Central C_gateway2, GigabitEthernet0/0/2]], [13.173.0.0/16]),
        ([[Greece Central C_gateway1, GigabitEthernet0/0/3], [Greece Central C_gateway2, GigabitEthernet0/0/3]], [13.174.0.0/16]),
        ([[Greece Central C_gateway1, GigabitEthernet0/0/4], [Greece Central C_gateway2, GigabitEthernet0/0/4]], [13.175.0.0/16]),
        ([[Greece Central C_gateway1, GigabitEthernet0/0/5], [Greece Central C_gateway2, GigabitEthernet0/0/5]], [13.176.0.0/16])
    ]

Greece Central D -> [
        ([[Greece Central D_gateway1, GigabitEthernet0/0/1], [Greece Central D_gateway2, GigabitEthernet0/0/1]], [13.177.0.0/16]),
        ([[Greece Central D_gateway1, GigabitEthernet0/0/2], [Greece Central D_gateway2, GigabitEthernet0/0/2]], [13.178.0.0/16]),
        ([[Greece Central D_gateway1, GigabitEthernet0/0/3], [Greece Central D_gateway2, GigabitEthernet0/0/3]], [13.179.0.0/16]),
        ([[Greece Central D_gateway1, GigabitEthernet0/0/4], [Greece Central D_gateway2, GigabitEthernet0/0/4]], [13.180.0.0/16]),
        ([[Greece Central D_gateway1, GigabitEthernet0/0/5], [Greece Central D_gateway2, GigabitEthernet0/0/5]], [13.181.0.0/16])
    ]

Greece Central E -> [
        ([[Greece Central E_gateway1, GigabitEthernet0/0/1], [Greece Central E_gateway2, GigabitEthernet0/0/1]], [13.182.0.0/16]),
        ([[Greece Central E_gateway1, GigabitEthernet0/0/2], [Greece Central E_gateway2, GigabitEthernet0/0/2]], [13.183.0.0/16]),
        ([[Greece Central E_gateway1, GigabitEthernet0/0/3], [Greece Central E_gateway2, GigabitEthernet0/0/3]], [13.184.0.0/16]),
        ([[Greece Central E_gateway1, GigabitEthernet0/0/4], [Greece Central E_gateway2, GigabitEthernet0/0/4]], [13.185.0.0/16]),
        ([[Greece Central E_gateway1, GigabitEthernet0/0/5], [Greece Central E_gateway2, GigabitEthernet0/0/5]], [13.186.0.0/16])
    ]

Greece Central F -> [
        ([[Greece Central F_gateway1, GigabitEthernet0/0/1], [Greece Central F_gateway2, GigabitEthernet0/0/1]], [13.187.0.0/16]),
        ([[Greece Central F_gateway1, GigabitEthernet0/0/2], [Greece Central F_gateway2, GigabitEthernet0/0/2]], [13.188.0.0/16]),
        ([[Greece Central F_gateway1, GigabitEthernet0/0/3], [Greece Central F_gateway2, GigabitEthernet0/0/3]], [13.189.0.0/16]),
        ([[Greece Central F_gateway1, GigabitEthernet0/0/4], [Greece Central F_gateway2, GigabitEthernet0/0/4]], [13.190.0.0/16]),
        ([[Greece Central F_gateway1, GigabitEthernet0/0/5], [Greece Central F_gateway2, GigabitEthernet0/0/5]], [13.191.0.0/16])
    ]

South Africa North A -> [
        ([[South Africa North A_gateway1, GigabitEthernet0/0/1], [South Africa North A_gateway2, GigabitEthernet0/0/1]], [13.192.0.0/16]),
        ([[South Africa North A_gateway1, GigabitEthernet0/0/2], [South Africa North A_gateway2, GigabitEthernet0/0/2]], [13.193.0.0/16]),
        ([[South Africa North A_gateway1, GigabitEthernet0/0/3], [South Africa North A_gateway2, GigabitEthernet0/0/3]], [13.194.0.0/16]),
        ([[South Africa North A_gateway1, GigabitEthernet0/0/4], [South Africa North A_gateway2, GigabitEthernet0/0/4]], [13.195.0.0/16]),
        ([[South Africa North A_gateway1, GigabitEthernet0/0/5], [South Africa North A_gateway2, GigabitEthernet0/0/5]], [13.196.0.0/16])
    ]

South Africa North B -> [
        ([[South Africa North B_gateway1, GigabitEthernet0/0/1], [South Africa North B_gateway2, GigabitEthernet0/0/1]], [13.197.0.0/16]),
        ([[South Africa North B_gateway1, GigabitEthernet0/0/2], [South Africa North B_gateway2, GigabitEthernet0/0/2]], [13.198.0.0/16]),
        ([[South Africa North B_gateway1, GigabitEthernet0/0/3], [South Africa North B_gateway2, GigabitEthernet0/0/3]], [13.199.0.0/16]),
        ([[South Africa North B_gateway1, GigabitEthernet0/0/4], [South Africa North B_gateway2, GigabitEthernet0/0/4]], [13.200.0.0/16]),
        ([[South Africa North B_gateway1, GigabitEthernet0/0/5], [South Africa North B_gateway2, GigabitEthernet0/0/5]], [13.201.0.0/16])
    ]

South Africa North C -> [
        ([[South Africa North C_gateway1, GigabitEthernet0/0/1], [South Africa North C_gateway2, GigabitEthernet0/0/1]], [13.202.0.0/16]),
        ([[South Africa North C_gateway1, GigabitEthernet0/0/2], [South Africa North C_gateway2, GigabitEthernet0/0/2]], [13.203.0.0/16]),
        ([[South Africa North C_gateway1, GigabitEthernet0/0/3], [South Africa North C_gateway2, GigabitEthernet0/0/3]], [13.204.0.0/16]),
        ([[South Africa North C_gateway1, GigabitEthernet0/0/4], [South Africa North C_gateway2, GigabitEthernet0/0/4]], [13.205.0.0/16]),
        ([[South Africa North C_gateway1, GigabitEthernet0/0/5], [South Africa North C_gateway2, GigabitEthernet0/0/5]], [13.206.0.0/16])
    ]

South Africa North D -> [
        ([[South Africa North D_gateway1, GigabitEthernet0/0/1], [South Africa North D_gateway2, GigabitEthernet0/0/1]], [13.207.0.0/16]),
        ([[South Africa North D_gateway1, GigabitEthernet0/0/2], [South Africa North D_gateway2, GigabitEthernet0/0/2]], [13.208.0.0/16]),
        ([[South Africa North D_gateway1, GigabitEthernet0/0/3], [South Africa North D_gateway2, GigabitEthernet0/0/3]], [13.209.0.0/16]),
        ([[South Africa North D_gateway1, GigabitEthernet0/0/4], [South Africa North D_gateway2, GigabitEthernet0/0/4]], [13.210.0.0/16]),
        ([[South Africa North D_gateway1, GigabitEthernet0/0/5], [South Africa North D_gateway2, GigabitEthernet0/0/5]], [13.211.0.0/16])
    ]

South Africa North E -> [
        ([[South Africa North E_gateway1, GigabitEthernet0/0/1], [South Africa North E_gateway2, GigabitEthernet0/0/1]], [13.212.0.0/16]),
        ([[South Africa North E_gateway1, GigabitEthernet0/0/2], [South Africa North E_gateway2, GigabitEthernet0/0/2]], [13.213.0.0/16]),
        ([[South Africa North E_gateway1, GigabitEthernet0/0/3], [South Africa North E_gateway2, GigabitEthernet0/0/3]], [13.214.0.0/16]),
        ([[South Africa North E_gateway1, GigabitEthernet0/0/4], [South Africa North E_gateway2, GigabitEthernet0/0/4]], [13.215.0.0/16]),
        ([[South Africa North E_gateway1, GigabitEthernet0/0/5], [South Africa North E_gateway2, GigabitEthernet0/0/5]], [13.216.0.0/16])
    ]

South Africa North F -> [
        ([[South Africa North F_gateway1, GigabitEthernet0/0/1], [South Africa North F_gateway2, GigabitEthernet0/0/1]], [13.217.0.0/16]),
        ([[South Africa North F_gateway1, GigabitEthernet0/0/2], [South Africa North F_gateway2, GigabitEthernet0/0/2]], [13.218.0.0/16]),
        ([[South Africa North F_gateway1, GigabitEthernet0/0/3], [South Africa North F_gateway2, GigabitEthernet0/0/3]], [13.219.0.0/16]),
        ([[South Africa North F_gateway1, GigabitEthernet0/0/4], [South Africa North F_gateway2, GigabitEthernet0/0/4]], [13.220.0.0/16]),
        ([[South Africa North F_gateway1, GigabitEthernet0/0/5], [South Africa North F_gateway2, GigabitEthernet0/0/5]], [13.221.0.0/16])
    ]

Israel Central A -> [
        ([[Israel Central A_gateway1, GigabitEthernet0/0/1], [Israel Central A_gateway2, GigabitEthernet0/0/1]], [13.222.0.0/16]),
        ([[Israel Central A_gateway1, GigabitEthernet0/0/2], [Israel Central A_gateway2, GigabitEthernet0/0/2]], [13.223.0.0/16]),
        ([[Israel Central A_gateway1, GigabitEthernet0/0/3], [Israel Central A_gateway2, GigabitEthernet0/0/3]], [13.224.0.0/16]),
        ([[Israel Central A_gateway1, GigabitEthernet0/0/4], [Israel Central A_gateway2, GigabitEthernet0/0/4]], [13.225.0.0/16]),
        ([[Israel Central A_gateway1, GigabitEthernet0/0/5], [Israel Central A_gateway2, GigabitEthernet0/0/5]], [13.226.0.0/16])
    ]

Israel Central B -> [
        ([[Israel Central B_gateway1, GigabitEthernet0/0/1], [Israel Central B_gateway2, GigabitEthernet0/0/1]], [13.227.0.0/16]),
        ([[Israel Central B_gateway1, GigabitEthernet0/0/2], [Israel Central B_gateway2, GigabitEthernet0/0/2]], [13.228.0.0/16]),
        ([[Israel Central B_gateway1, GigabitEthernet0/0/3], [Israel Central B_gateway2, GigabitEthernet0/0/3]], [13.229.0.0/16]),
        ([[Israel Central B_gateway1, GigabitEthernet0/0/4], [Israel Central B_gateway2, GigabitEthernet0/0/4]], [13.230.0.0/16]),
        ([[Israel Central B_gateway1, GigabitEthernet0/0/5], [Israel Central B_gateway2, GigabitEthernet0/0/5]], [13.231.0.0/16])
    ]

Israel Central C -> [
        ([[Israel Central C_gateway1, GigabitEthernet0/0/1], [Israel Central C_gateway2, GigabitEthernet0/0/1]], [13.232.0.0/16]),
        ([[Israel Central C_gateway1, GigabitEthernet0/0/2], [Israel Central C_gateway2, GigabitEthernet0/0/2]], [13.233.0.0/16]),
        ([[Israel Central C_gateway1, GigabitEthernet0/0/3], [Israel Central C_gateway2, GigabitEthernet0/0/3]], [13.234.0.0/16]),
        ([[Israel Central C_gateway1, GigabitEthernet0/0/4], [Israel Central C_gateway2, GigabitEthernet0/0/4]], [13.235.0.0/16]),
        ([[Israel Central C_gateway1, GigabitEthernet0/0/5], [Israel Central C_gateway2, GigabitEthernet0/0/5]], [13.236.0.0/16])
    ]

Israel Central D -> [
        ([[Israel Central D_gateway1, GigabitEthernet0/0/1], [Israel Central D_gateway2, GigabitEthernet0/0/1]], [13.237.0.0/16]),
        ([[Israel Central D_gateway1, GigabitEthernet0/0/2], [Israel Central D_gateway2, GigabitEthernet0/0/2]], [13.238.0.0/16]),
        ([[Israel Central D_gateway1, GigabitEthernet0/0/3], [Israel Central D_gateway2, GigabitEthernet0/0/3]], [13.239.0.0/16]),
        ([[Israel Central D_gateway1, GigabitEthernet0/0/4], [Israel Central D_gateway2, GigabitEthernet0/0/4]], [13.240.0.0/16]),
        ([[Israel Central D_gateway1, GigabitEthernet0/0/5], [Israel Central D_gateway2, GigabitEthernet0/0/5]], [13.241.0.0/16])
    ]

Israel Central E -> [
        ([[Israel Central E_gateway1, GigabitEthernet0/0/1], [Israel Central E_gateway2, GigabitEthernet0/0/1]], [13.242.0.0/16]),
        ([[Israel Central E_gateway1, GigabitEthernet0/0/2], [Israel Central E_gateway2, GigabitEthernet0/0/2]], [13.243.0.0/16]),
        ([[Israel Central E_gateway1, GigabitEthernet0/0/3], [Israel Central E_gateway2, GigabitEthernet0/0/3]], [13.244.0.0/16]),
        ([[Israel Central E_gateway1, GigabitEthernet0/0/4], [Israel Central E_gateway2, GigabitEthernet0/0/4]], [13.245.0.0/16]),
        ([[Israel Central E_gateway1, GigabitEthernet0/0/5], [Israel Central E_gateway2, GigabitEthernet0/0/5]], [13.246.0.0/16])
    ]

Israel Central F -> [
        ([[Israel Central F_gateway1, GigabitEthernet0/0/1], [Israel Central F_gateway2, GigabitEthernet0/0/1]], [13.247.0.0/16]),
        ([[Israel Central F_gateway1, GigabitEthernet0/0/2], [Israel Central F_gateway2, GigabitEthernet0/0/2]], [13.248.0.0/16]),
        ([[Israel Central F_gateway1, GigabitEthernet0/0/3], [Israel Central F_gateway2, GigabitEthernet0/0/3]], [13.249.0.0/16]),
        ([[Israel Central F_gateway1, GigabitEthernet0/0/4], [Israel Central F_gateway2, GigabitEthernet0/0/4]], [13.250.0.0/16]),
        ([[Israel Central F_gateway1, GigabitEthernet0/0/5], [Israel Central F_gateway2, GigabitEthernet0/0/5]], [13.251.0.0/16])
    ]

Qatar Central A -> [
        ([[Qatar Central A_gateway1, GigabitEthernet0/0/1], [Qatar Central A_gateway2, GigabitEthernet0/0/1]], [13.252.0.0/16]),
        ([[Qatar Central A_gateway1, GigabitEthernet0/0/2], [Qatar Central A_gateway2, GigabitEthernet0/0/2]], [13.253.0.0/16]),
        ([[Qatar Central A_gateway1, GigabitEthernet0/0/3], [Qatar Central A_gateway2, GigabitEthernet0/0/3]], [13.254.0.0/16]),
        ([[Qatar Central A_gateway1, GigabitEthernet0/0/4], [Qatar Central A_gateway2, GigabitEthernet0/0/4]], [13.255.0.0/16]),
        ([[Qatar Central A_gateway1, GigabitEthernet0/0/5], [Qatar Central A_gateway2, GigabitEthernet0/0/5]], [14.0.0.0/16])
    ]

Qatar Central B -> [
        ([[Qatar Central B_gateway1, GigabitEthernet0/0/1], [Qatar Central B_gateway2, GigabitEthernet0/0/1]], [14.1.0.0/16]),
        ([[Qatar Central B_gateway1, GigabitEthernet0/0/2], [Qatar Central B_gateway2, GigabitEthernet0/0/2]], [14.2.0.0/16]),
        ([[Qatar Central B_gateway1, GigabitEthernet0/0/3], [Qatar Central B_gateway2, GigabitEthernet0/0/3]], [14.3.0.0/16]),
